edge,cause,effect,path,intermediaries,path_length,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_mv_fisherz_raw_v2,agreement_score
FiO2_max --> blood_pressure_min_missing,FiO2_max,blood_pressure_min_missing,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,lactate_max_missing,2,0,0,0,0,1,0,0,0,1
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,FiO2_max --> spO2_min --> heart_rate_max,spO2_min,2,0,0,0,0,1,1,0,0,2
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,lactate_max_missing --> blood_pressure_min_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,lactate_max_missing --> blood_pressure_min_missing --> spO2_min,4,0,0,0,0,1,0,0,0,1
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,FiO2_max --> lactate_max_missing --> vaso_given --> heart_rate_max,lactate_max_missing --> vaso_given,3,0,0,0,0,1,0,0,0,1
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,lactate_max_missing --> vaso_given --> lactate_max,4,0,0,0,0,1,0,0,0,1
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> spO2_min --> hospital_expire_flag,spO2_min,2,0,0,0,0,1,1,1,1,4
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> spO2_min --> heart_rate_max --> hospital_expire_flag,spO2_min --> heart_rate_max,3,0,0,0,0,1,1,0,0,2
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> spO2_min --> vaso_given --> hospital_expire_flag,spO2_min --> vaso_given,3,0,0,0,0,0,0,1,1,2
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max --> hospital_expire_flag,lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,4,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> mechvent_post24h --> hospital_expire_flag,lactate_max_missing --> blood_pressure_min_missing --> mechvent_post24h,4,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max --> hospital_expire_flag,lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,5,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> hospital_expire_flag,lactate_max_missing --> blood_pressure_min_missing --> spO2_min,4,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> vaso_given --> heart_rate_max --> hospital_expire_flag,lactate_max_missing --> vaso_given --> heart_rate_max,4,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> vaso_given --> hospital_expire_flag,lactate_max_missing --> vaso_given,3,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max --> hospital_expire_flag,lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,5,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> hospital_expire_flag,lactate_max_missing --> vaso_given --> lactate_max,4,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max --> hospital_expire_flag,lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,6,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> hospital_expire_flag,lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,FiO2_max --> vaso_given --> hospital_expire_flag,vaso_given,2,0,0,0,0,0,0,1,0,1
FiO2_max --> lactate_max,FiO2_max,lactate_max,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max,lactate_max_missing --> vaso_given,3,0,0,0,0,1,0,0,0,1
FiO2_max --> mechvent_post24h,FiO2_max,mechvent_post24h,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> mechvent_post24h,lactate_max_missing --> blood_pressure_min_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max --> spO2_min,FiO2_max,spO2_min,FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min,lactate_max_missing --> blood_pressure_min_missing,3,0,0,0,0,1,0,0,0,1
