edge,cause,effect,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_kci_knn_indicator,FCI_kci_simple,FCI_kci_simple_indicator,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_kci_knn_indicator,PC_kci_simple,PC_kci_simple_indicator,PC_mv_fisherz_raw_v2,avg_num_paths,agreement_score
antibiotics_given --> hospital_expire_flag,antibiotics_given,hospital_expire_flag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.1,14
anchor_age --> hospital_expire_flag,anchor_age,hospital_expire_flag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.2,14
aki_24h_onset_stage_y --> hospital_expire_flag,aki_24h_onset_stage_y,hospital_expire_flag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.6,14
mechvent_24h_onset --> hospital_expire_flag,mechvent_24h_onset,hospital_expire_flag,1,1,1,0,1,1,1,1,1,1,1,1,1,1,16.8,13
anchor_age --> mechvent_post24h,anchor_age,mechvent_post24h,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3.8,13
gender --> hospital_expire_flag,gender,hospital_expire_flag,1,1,1,1,0,1,0,1,1,1,1,0,1,1,15.5,11
blood_pressure_min --> hospital_expire_flag,blood_pressure_min,hospital_expire_flag,1,1,0,1,0,1,0,1,1,1,1,0,1,1,4.6,10
anchor_age --> aki_post24h_stage,anchor_age,aki_post24h_stage,1,1,1,0,0,0,1,1,1,1,1,1,1,0,5.1,10
mechvent_24h_onset --> mechvent_post24h,mechvent_24h_onset,mechvent_post24h,1,1,0,0,1,0,0,1,1,0,1,1,1,1,2.8,9
race --> hospital_expire_flag,race,hospital_expire_flag,1,1,1,0,0,0,1,1,1,1,0,1,0,1,29.4,9
race --> mechvent_post24h,race,mechvent_post24h,1,1,1,0,0,0,1,1,1,1,0,1,0,1,3.6,9
anchor_age --> spO2_min,anchor_age,spO2_min,1,1,1,0,0,0,0,1,1,1,1,0,1,1,8.0,9
gender --> spO2_min,gender,spO2_min,1,1,0,0,0,0,0,1,1,1,1,0,1,1,5.2,8
inr_max --> hospital_expire_flag,inr_max,hospital_expire_flag,1,0,1,0,0,0,0,1,1,1,1,0,1,1,8.4,8
platelet_max --> hospital_expire_flag,platelet_max,hospital_expire_flag,0,0,1,0,0,0,0,1,1,1,1,1,1,1,7.1,8
spO2_min --> hospital_expire_flag,spO2_min,hospital_expire_flag,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2.0,8
FiO2_max --> hospital_expire_flag,FiO2_max,hospital_expire_flag,0,0,0,0,1,1,0,1,1,1,0,1,1,1,4.9,8
FiO2_max --> vaso_given,FiO2_max,vaso_given,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1.1,7
gender --> FiO2_max,gender,FiO2_max,0,1,0,0,0,0,0,1,1,1,1,0,1,1,3.0,7
