edge,cause,effect,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_kci_knn_indicator,FCI_kci_simple,FCI_kci_simple_indicator,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_kci_knn_indicator,PC_kci_simple,PC_kci_simple_indicator,PC_mv_fisherz_raw_v2,avg_num_paths,agreement_score
AKI Onset (24h) --> AKI Post-24h,AKI Onset (24h),AKI Post-24h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,14
AKI Onset (24h) --> Hospital Mortality,AKI Onset (24h),Hospital Mortality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.6,14
Age --> Heart Rate (max),Age,Heart Rate (max),1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.2,14
Age --> Mech. Vent Post-24h,Age,Mech. Vent Post-24h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5,14
Age --> Bilirubin (max),Age,Bilirubin (max),1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.3,14
Antibiotics --> Hospital Mortality,Antibiotics,Hospital Mortality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.1,14
Mech. Vent Onset (24h) --> Mech. Vent Post-24h,Mech. Vent Onset (24h),Mech. Vent Post-24h,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.8,14
Age --> Hospital Mortality,Age,Hospital Mortality,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24.2,14
Mech. Vent Onset (24h) --> Hospital Mortality,Mech. Vent Onset (24h),Hospital Mortality,1,1,1,0,1,1,1,1,1,1,1,1,1,1,16.8,13
Mech. Vent Post-24h --> Hospital Mortality,Mech. Vent Post-24h,Hospital Mortality,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0.4,13
Age --> Blood Pressure (min),Age,Blood Pressure (min),1,1,1,1,1,1,0,1,1,1,1,1,1,1,0.6,13
Gender --> Blood Pressure (min),Gender,Blood Pressure (min),1,1,1,1,1,1,0,1,1,1,1,1,1,0,0.1,12
SpO2 (min) --> Hospital Mortality,SpO2 (min),Hospital Mortality,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1.3,12
AKI Post-24h --> Hospital Mortality,AKI Post-24h,Hospital Mortality,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.2,12
Mech. Vent Onset (24h) --> AKI Post-24h,Mech. Vent Onset (24h),AKI Post-24h,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1.4,12
Bilirubin (max) --> Hospital Mortality,Bilirubin (max),Hospital Mortality,1,1,1,0,0,0,1,1,1,1,1,1,1,1,2.0,11
AKI Onset (24h) --> Mech. Vent Post-24h,AKI Onset (24h),Mech. Vent Post-24h,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1.6,11
Gender --> Hospital Mortality,Gender,Hospital Mortality,1,1,1,1,0,1,0,1,1,1,1,0,1,1,15.5,11
INR (max) --> Hospital Mortality,INR (max),Hospital Mortality,1,1,1,0,0,0,1,1,1,1,1,0,1,1,6.7,10
Antibiotics --> AKI Post-24h,Antibiotics,AKI Post-24h,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0.5,10
Age --> AKI Post-24h,Age,AKI Post-24h,1,1,1,0,0,0,1,1,1,1,1,1,1,0,5.1,10
Age --> Temperature (max),Age,Temperature (max),0,0,1,1,1,1,1,0,0,1,1,1,1,1,0.0,10
Lactate (max) --> Hospital Mortality,Lactate (max),Hospital Mortality,1,1,0,1,1,0,1,1,1,0,1,1,0,1,10.0,10
Blood Pressure (min) --> Hospital Mortality,Blood Pressure (min),Hospital Mortality,1,1,0,1,0,1,0,1,1,1,1,0,1,1,4.6,10
Vasopressors --> Hospital Mortality,Vasopressors,Hospital Mortality,1,1,1,0,0,0,1,1,1,1,0,1,1,1,3.1,10
Mech. Vent Onset (24h) --> FiO2 (max),Mech. Vent Onset (24h),FiO2 (max),1,1,0,0,1,0,0,1,1,1,1,0,1,1,2.9,9
